"CPF","NOME","ENDERECO1","ENDERECO2","BAIRRO","CIDADE","ESTADO","CEP","IDADE","SEXO","LIMITE_CREDITO","VOLUME_COMPRA","PRIMEIRA_COMPRA","DT_NASCIMENTO"
"07069142994",ÁGATHA AGNELLO,"AVENIDA JOSIAS DE OLIVEIRA, n.366","ALAMEDA DOS JEQUITIBÁS, n.314",PARQUE CIDADE DE CAMPINAS,MESSIAS TARGINO ,RIO GRANDE DO SUL,"06994485",64,F,4621.28,1574.46,1,"1959-09-14"
"07628761583",LUCÉLIA APARECIDA DA SILVA DOS SANTOS LIMA,"LADEIRA FELIPE, n.458","AVENIDA DUQUE DE CAXIAS NORTE, n.11",PARQUE DOS POMARES,CAETANÓPOLIS ,RORAIMA,"01171471",39,M,2728.28,3289.17,1,"1984-10-24"
"07677747877",JESSICA SOARES CARDOSO,"CAMINHO SERIEMAS, n.290","RUA AFFONSO BAPTISTA, n.454",JARDIM MARISA,FRANCISCO DUMONT ,SÃO PAULO,"52048306",53,F,2275.83,1831.78,0,"1971-03-05"
"07797636263",CLAUDIANA DOS ANJOS MELO,"ALAMEDA BEM-TE-VI, n.469","ALAMEDA AÇUCENAS, n.77",VILA MIGUEL VICENTE CURY,NOVA LONDRINA ,PARANÁ,"71671241",58,F,4875.47,1305.69,0,"1965-11-11"
"07962105189",SOLANGE PEREIRA DE OLIVEIRA,"ALAMEDA FIGUEIRAS, n.297","ALAMEDA CAIAPÓS, n.495",JARDIM MADALENA,NOVA ESPERANÇA DO SUDOESTE ,ALAGOAS,"60324326",62,M,4691.07,3561.03,0,"1961-08-29"
"09760173151",ALEX MAIA SANCHEZ,"PRAÇA DOS BANDEIRANTES, n.6","AVENIDA FERRARI, n.143",JARDIM PAULISTANO,ESPÍRITO SANTO DO DOURADO ,SÃO PAULO,"51983794",61,F,1130.03,1372.7,0,"1963-01-07"
"11028600183",VIVIANE TEIXEIRA SANTOS,"ALAMEDA DOS CAIAPÓS, n.188","AVENIDA JUCA COSTA, n.289",PARQUE SÃO JORGE,TRÊS PONTAS ,SANTA CATARINA,"35498382",79,M,1370.02,2328.77,1,"1944-08-03"
"12016342596",ANDREIA FERNANDES DE JESUS,"ALAMEDA TENENTE FRANCO DA SILVEIRA, n.82","AVENIDA PADRE LEO LUNDERS, n.192",JARDIM CARLOS LOURENÇO,PLANALTO DA SERRA ,ALAGOAS,"87010274",28,F,3519.47,3318.61,0,"1995-09-27"
"12036703036",ALINE LUCIO PORTO DA SILVA,"PRAÇA BANDEIRANTES, n.465","AVENIDA FERRARI, n.269",JARDIM NOVA MERCEDES,LINS ,MATO GROSSO DO SUL,"93240383",43,F,1689.34,1135.03,0,"1981-02-11"
"12301720568",RENATA APARECIDA ALVES SIMÃO,"ALAMEDA ANDORINHA, n.397","ALAMEDA HORTÊNCIAS, n.253",JARDIM NOVO SÃO JOSÉ,BREJO DE AREIA ,ESPÍRITO SANTO,"72835529",38,M,1915.98,1353.38,1,"1985-05-14"
"12914226109",MELISSA DE ALMEIDA SOUZA,"RODOVIA ANHANGUERA, n.28","CAMINHO BICUDOS, n.415",RESIDENCIAL SHANGRILÁ,RIACHO FRIO ,SERGIPE,"57273370",67,M,3948.42,2089.58,0,"1956-11-25"
"13060608254",NARRIMAN CHAGAS GONÇALVES,"RUA ALCEBIADES BORTOLINI, n.30","AVENIDA PAINGUÁS, n.431",JARDIM ESTORIL,DENISE ,PARAÍBA,"61363922",36,F,4799.84,3575.09,1,"1987-08-13"
"13576347846",MARIA DO SOCORRO LIMA,"ALAMEDA FLAMBOYANS, n.451","CAMINHO SERIEMAS, n.237",JARDIM AURÉLIA,BARRA MANSA ,ACRE,"39467063",63,M,3523.45,2134.55,1,"1960-07-19"
"13614473711",FABIANO APARECIDO DOS SANTOS,"PRAÇA CONSELHEIRO ANTÔNIO PRADO, n.452","CAMINHO DOS BEM-TE-VIS, n.229",VILA LEMOS,HORIZONTE ,PARANÁ,"77723974",26,M,2529.48,4692.29,0,"1998-04-06"
"13676470328",AMANDA THAYARA DE SOUZA GOUVEIA,"ALAMEDA PINHEIROS, n.122","RODOVIA PREFEITO EUBERTO NEMÉSIO PEREIRA DE GODOY, n.286",JARDIM SÃO FERNANDO,PALMARES DO SUL ,ACRE,"00018844",66,M,1877.62,1336.47,0,"1958-04-05"
"14351609121",RENATA EVELYN NUNES,"ALAMEDA DAS MARGARIDAS, n.76","RUA 15 DE NOVEMBRO, n.309",JARDIM SANTA MÔNICA,MUTUÍPE ,PARANÁ,"64916464",30,F,2003.9,3054.4,1,"1993-12-14"
"14355163787",ROSA ALVES DE SENA PAIVA,"ALAMEDA DAS MARGARIDAS, n.157","CAMINHO BEM-TE-VIS, n.201",SÃO BERNARDO,SANTANA DE PARNAÍBA ,MATO GROSSO,"57696950",50,M,3289.67,3669.86,0,"1973-06-22"
"18508092482",PATRICIA LOPES GOMES,"ALAMEDA DOS FAVEIROS, n.174","ALAMEDA JEQUITIBÁS, n.188",JARDIM FERNANDA I,PUREZA ,MARANHÃO,"29001641",68,F,2925.5,600.28,0,"1955-09-27"
"19143865567",LILIAN DIAS MARTINS,"CAMINHO DOS CURIÓS, n.245","AVENIDA ACADÊMICOS, n.312",JARDIM INTERLAGOS,BOA VISTA DO SUL ,RONDÔNIA,"59743908",36,F,4616.31,4564.57,1,"1988-01-23"
"19281777210",FERNANDA DOS SANTOS SOLLER,"PRAÇA BELARMINO DEL NERO, n.457","ALAMEDA DAS ARAUCÁRIAS, n.360",JARDIM DO LAGO II,DIAMANTE D'OESTE ,RIO DE JANEIRO,"33502866",36,F,2813.94,2402.86,0,"1987-05-31"
"19363514721",ELAINE ALVES PEREIRA,"AVENIDA DAS NAÇÕES, n.387","ALAMEDA DOS TAMÔIOS, n.119",JARDIM DO TREVO,MACAU ,MATO GROSSO DO SUL,"58429583",22,F,3281.76,3078.53,1,"2001-11-22"
"19506084335",MAICON NOGUEIRA DA SILVA,"CAMINHO DOS CANÁRIOS DA TERRA, n.373","PRAÇA PALMEIRAS, n.440",JARDIM CHAPADÃO,IGARAPÉ-MIRI ,RIO GRANDE DO NORTE,"06089622",65,F,4275.83,119.1,0,"1958-07-16"
"19560322362",MARIA NOELIA LOBO DA SILVA,"PRAÇA DOS BANDEIRANTES, n.270","ALAMEDA AÇUCENAS, n.124",JARDIM MADALENA,BOA VIAGEM ,AMAZONAS,"18557922",29,F,4585.52,1897.02,1,"1994-05-24"
"21322097962",JULIANA CRISTINA ELISEO GARCIA,"ALAMEDA PINHEIROS, n.474","RUA ACÁCIAS, n.461",VILA IAPI,FEIRA NOVA ,PARAÍBA,"17334450",76,F,2500.47,2560.23,0,"1947-12-22"
"22674780452",ANA PAULA DA CONCEIÇÃO,"RUA ALMIRO GODINHO, n.170","RUA ALFREDO BIANCO, n.308",NOTRE DAME,FLORÂNIA ,RORAIMA,"27309714",58,M,3809.11,4537.56,1,"1966-03-04"
"23038692836",SONIA SALGUEIRO DE OLIVEIRA,"ALAMEDA FRANCO DA SILVEIRA, n.101","ALAMEDA SIBIPIRUNAS, n.118",VILA SÃO BENTO,COREAÚ ,SANTA CATARINA,"01960984",42,M,2607.82,627.51,1,"1981-11-12"
"23201392669",LUSINEIDE ALVES DE LIMA,"AVENIDA GERMANO DIX, n.87","AVENIDA DOS ACADÊMICOS, n.98",JARDIM SÃO RAFAEL,SETUBINHA ,RIO GRANDE DO SUL,"93189822",43,M,3343.06,4982.0,1,"1980-05-10"
"23343501756",JOEL NATAL MANCINI,"ALAMEDA DOS BANDEIRANTES, n.97","RUA ACÁCIAS, n.97",VILA NOVA,NOVA SANTA HELENA ,PERNAMBUCO,"79148890",70,M,2242.33,3222.04,1,"1953-06-10"
"24256713314",AUDENICE MARIA QUIRINO CAVALCANTI FEITOSA,"ALAMEDA DOS CAIAPÓS, n.217","AVENIDA LUIZ BRANCODE MIRANDA SOBRINHO, n.52",JARDIM CAMPO BELO II,ANALÂNDIA ,RIO GRANDE DO NORTE,"40592640",60,M,4516.56,2003.27,1,"1964-02-18"
"24480005194",SHIRLY RAQUEL COELHO QUINZINHO,"CAMINHO GARÇAS, n.327","AVENIDA JOSÉ MANOEL RIBEIRO, n.188",JARDIM DAS OLIVEIRAS,PETROLINA DE GOIÁS ,ALAGOAS,"60649724",48,F,1814.62,4061.01,0,"1975-07-14"
"25073346509",GABRIELA RODRIGUES GONÇALVES,"PRAÇA ANCHIETA, n.170","ALAMEDA SIBIPIRUNAS, n.203",PARQUE SANTA BÁRBARA,CONCEIÇÃO DA BARRA ,RONDÔNIA,"95882003",78,M,4876.56,777.61,1,"1945-12-18"
"25529833842",ELMA MOREIRA DA SILVA NEVES,"ALAMEDA DOS JEQUITIBÁS, n.67","CAMINHO CANÁRIOS DA TERRA, n.450",LOTEAMENTO CENTER SANTA GENEBRA,SÃO LUÍS GONZAGA DO MARANHÃO ,PARÁ,"27598571",56,M,4984.75,3503.34,0,"1967-08-09"
"25644867758",VITOR DOS SANTOS SOTTILE,"ALAMEDA UIRAPURU, n.232","AVENIDA DAS NAÇÕES, n.453",VILA PROOST DE SOUSA,CAUCAIA ,PIAUÍ,"88576188",55,M,1521.43,3049.98,0,"1968-08-30"
"26672512941",THAIS MAYRA DA SILVA SANTOS,"ALAMEDA JEQUITIBÁS, n.41","ALAMEDA SABIÁS, n.415",JARDIM CHAPADÃO,JACINTO MACHADO ,SERGIPE,"88893786",28,F,3029.86,886.45,0,"1996-04-08"
"27187983037",ADRIANA CAPELI RIBEIRO,"ALAMEDA DOS CAETÉS, n.321","CAMINHO BEIJA-FLORES, n.126",VILA MARTA,CABECEIRAS ,AMAZONAS,"94950877",51,M,3874.81,2598.76,0,"1972-04-29"
"27541533890",KAREN APARECIDA CONCEIÇÃO SOUZA,"AVENIDA JOSÉ XAVIER DE SOUZA, n.78","RUA 15 DE NOVEMBRO, n.474",JARDIM SANTA CRUZ,MARITUBA ,MARANHÃO,"89460562",40,F,3257.01,1548.49,0,"1983-12-30"
"28020460537",WILLIAM PIVA MARCELINO,"ESTRADA AGUAI PIRASSUNUNGA SP 225, n.455","PRAÇA SANTO ANTÔNIO, n.286",VILA OROZIMBO MAIA,PALMÓPOLIS ,AMAZONAS,"59924653",26,F,3460.47,2915.72,1,"1997-07-20"
"28312603856",ELTON XAVIER,"CAMINHO CARDEAIS, n.228","ALAMEDA ACÁCIAS, n.42",JARDIM MONTE BELO II,BODOCÓ ,GOIÁS,"04773695",33,M,1517.75,123.89,1,"1990-05-04"
"28599107100",MARCIA REGINA PIRES DE LIMA SILVA,"RUA AFONSO GUIMARÃES, n.207","ALAMEDA DOS FLAMBOYANS, n.68",JARDIM SANTA MARCELINA,MAUÉS ,PERNAMBUCO,"86671920",54,M,4046.59,4167.4,1,"1969-07-26"
"29083516700",NILZA DE SOUSA SANTANA,"CAMINHO BEIJA-FLORES, n.454","ALAMEDA DAS SIBIPIRUNAS, n.473",JARDIM PAULISTANO,AUGUSTINÓPOLIS ,BAHIA,"06712692",27,M,4904.94,1776.53,1,"1996-08-22"
"29932885109",MARIA JOSINETE LAU CAVALCANTE,"RUA AFONSO GUIMARÃES, n.195","ALAMEDA CORIMBATAS, n.32",JARDIM DO LAGO I,CRATEÚS ,SANTA CATARINA,"17399955",55,F,3772.54,376.2,1,"1968-12-29"
"31327744675",ANA PAULA ARAUJO DE LIMA SALES,"CAMINHO DAS GARÇAS, n.59","AVENIDA PADRE ANTÔNIO VANN ESS, n.418",PARQUE SÃO JORGE,ORIXIMINÁ ,ESPÍRITO SANTO,"77196893",55,F,1035.55,3338.89,0,"1968-05-07"
"31464471247",RENATA CARVALHO DOS SANTOS,"PRAÇA ANCHIETA, n.393","AVENIDA NAÇÕES, n.118",JARDIM FERNANDA II,PEDRO ALEXANDRE ,CEARÁ,"71348676",67,M,1231.83,1308.44,0,"1956-11-30"
"31822975527",NAIARA CARDEAL SANTOS,"AVENIDA NAÇÕES, n.62","RUA ALBERTINA DE SOUZA AGUIAR, n.130",PARQUE DA HÍPICA,SERRINHA ,ALAGOAS,"27363684",49,F,2756.58,3293.73,0,"1974-06-29"
"32385395853",ROSEMEIRE SILVA DE OLIVEIRA,"AVENIDA ÂNGELO BRUNO, n.158","ALAMEDA DAS CABRIUVAS, n.220",JARDIM SANTA MÔNICA,ACRELÂNDIA ,RONDÔNIA,"86563854",56,M,3266.77,2042.59,0,"1968-04-19"
"32946120743",MARINES PEREIRA PONCIANO DE FIGUEIREDO,"ALAMEDA PAINEIRAS, n.320","CAMINHO DAS SERIEMAS, n.484",VILA COSTA E SILVA,BOA VISTA ,RONDÔNIA,"12905711",75,M,1902.45,4805.31,0,"1948-09-10"
"32971585981",VANESSA ALESSANDRA LIMA MANOEL,"RUA ALBERTINA DE SOUZA AGUIAR, n.400","PRAÇA VIEIRA DE MORAES, n.157",JARDIM NOVO SÃO JOSÉ,TRAIRI ,MINAS GERAIS,"93045449",73,F,2292.23,4439.54,0,"1950-11-08"
"33029794906",CIBELY GALVÃO,"RUA ALFREDO IGLESIAS DA SILVA, n.39","RUA ALFREDO BIANCO, n.267",VILA SÃO BENTO,CACEQUI ,ACRE,"34048470",55,F,3701.48,4983.24,1,"1968-08-08"
"34250348399",VANESSA ALEXANDRE DO NASCIMENTO BONONI,"RODOVIA ANHANGUERA, n.489","ALAMEDA ANDORINHA, n.220",JARDIM PARANAPANEMA,MORRO DA FUMAÇA ,RONDÔNIA,"07465539",23,F,2802.61,346.46,1,"2000-07-05"
"34807092472",DANIELA FLOR LOPES PEREIRA,"ALAMEDA FAVEIROS, n.325","AVENIDA JOAQUIM DUARTE DE OLIVEIRA, n.127",VILA 31 DE MARÇO,ABADIA DOS DOURADOS ,BAHIA,"18365057",58,M,1317.65,181.07,1,"1966-04-16"
"35694375576",LUANA PATRICIO PORTELA DA SILVA,"PRAÇA BEL DEL NERO, n.382","ALAMEDA CORIMBATAS, n.25",JARDIM SÃO PEDRO,PARAÍSO ,MINAS GERAIS,"50860814",56,F,2727.02,1779.0,0,"1967-12-15"
"36736563140",LUÍS HENRIQUE GARCIA SILVA,"AVENIDA SANTO FERRARI, n.373","AVENIDA LEO LUNDERS, n.258",PARQUE TAQUARAL,SERRA NOVA DOURADA ,BAHIA,"79223517",48,F,3757.68,4524.16,0,"1975-12-30"
"37057245656",GRAZIELE CORREA PEREIRA,"ALAMEDA TAMÔIOS, n.289","ALAMEDA DOS TAMÔIOS, n.403",VILA IAPI,BACABAL ,RIO GRANDE DO NORTE,"30361132",23,F,3959.5,3894.57,0,"2000-10-04"
"37502418238",PATRICIA SANTOS SOUZA,"ALAMEDA AÇUCENAS, n.409","ALAMEDA JEQUITIBÁS, n.53",CIDADE JARDIM,BOMBINHAS ,PIAUÍ,"69659098",20,F,2264.6,4502.33,1,"2003-05-06"
"38070856394",CAIO BARBOSA DE ALMEIDA,"AVENIDA JOAQUIM DUARTE DE OLIVEIRA, n.31","PRAÇA DAS LARANJEIRAS, n.225",VILA MARTA,MONTE DO CARMO ,RIO GRANDE DO NORTE,"84345663",66,F,3624.71,4268.48,0,"1958-02-15"
"38337446031",BEATRIZ GONÇALVES DA SILVA,"PRAÇA IPÊS, n.112","AVENIDA PADRE ANTÔNIO VANN ESS, n.301",VILA MARIETA,CAPITÃO DE CAMPOS ,RIO GRANDE DO NORTE,"27455225",79,M,4904.89,3768.19,0,"1945-01-12"
"39026121286",VIVIANE PERGER MENDES DE SOUZA,"RUA ALÉCIO ADANI, n.217","AVENIDA AMÉRICA DO SUL, n.302",JARDIM DAS ANDORINHAS,SANTO AMARO DA IMPERATRIZ ,PARAÍBA,"56253094",64,M,2625.77,3084.09,1,"1959-05-31"
"39274739123",FERNANDA DE OLIVEIRA ALMEIDA PINTO,"AVENIDA PRESIDENTE MÉDICI, n.294","PRAÇA BEL DEL NERO, n.112",RESIDENCIAL CAMPO FLORIDO,MACHADINHO ,ESPÍRITO SANTO,"63789946",59,F,3128.32,2980.53,0,"1964-08-08"
"39434665890",ANDRÉIA BETAS CULLER,"RUA ADOLPHO TRAPANI, n.25","RUA ALCEBIADES BORTOLINI, n.483",JARDIM DAS OLIVEIRAS,ÁGUA FRIA DE GOIÁS ,PARÁ,"64533607",78,F,4048.7,4859.67,0,"1946-02-01"
"40382571903",ANDRÉIA DE LIMA,"PRAÇA FERNANDO, n.100","CAMINHO DOS BEIJA-FLORES, n.91",JARDIM MONTE BELO II,ÁGUA NOVA ,PARÁ,"48465164",34,M,3171.66,4767.2,1,"1989-07-01"
"40626898222",BRUNA APARECIDA PINA,"ALAMEDA DOS JEQUITIBÁS, n.85","RUA 13 DE MAIO, n.105",PARQUE BRASÍLIA,GAURAMA ,PERNAMBUCO,"12944984",40,M,2506.97,3648.95,1,"1984-03-13"
"40762709379",SANISA GONÇALVES ROSA,"RUA ALVARO BARBOSA, n.496","CAMINHO BEIJA-FLORES, n.65",BANANAL,LIDIANÓPOLIS ,ACRE,"59299027",29,F,2701.22,4667.64,0,"1995-02-07"
"41545136046",LÍLIAN ROCHA FUGII,"AVENIDA CAXIAS NORTE, n.434","AVENIDA MARECHAL JOSÉ P. C. ALBUQUERQUE, n.311",JARDIM BELA VISTA,CARAÁ ,SÃO PAULO,"66085448",34,F,4090.11,620.38,0,"1989-10-31"
"41549308980",DANIELE DE JESUS NUNES,"RUA ACÁCIO DOS SANTOS JÚNIOR, n.385","ALAMEDA DOS TAMÔIOS, n.259",PARQUE INDUSTRIAL,CORDEIRO ,MATO GROSSO,"27773725",70,M,1059.39,1441.89,0,"1953-07-05"
"42411114228",ALINE ANDRADE DE OLIVEIRA,"ESTRADA LEVY RAMOS, n.258","LADEIRA FELIPE, n.236",CHÁCARA GARGANTILHA,MONTE BELO ,MATO GROSSO DO SUL,"25560735",21,F,4293.67,724.31,1,"2003-02-27"
"42660427544",CLAUDINEIA MENDES OLIVEIRA,"CAMINHO GUARÁS, n.247","AVENIDA ALFIO SAVASTANO, n.324",CHÁCARA GARGANTILHA,OUROLÂNDIA ,RONDÔNIA,"37615806",52,F,1825.25,3391.29,0,"1971-07-15"
"42756979855",DÉCIO DA SILVA LIRA,"PRAÇA BANDEIRANTES, n.126","ALAMEDA GERÃNIOS, n.388",PARQUE DOS CISNES,SANTA HELENA ,SANTA CATARINA,"21252934",39,M,3732.45,1640.04,0,"1984-11-04"
"43081467862",MARIA JOSÉ DA SILVA CORRÊA,"PRAÇA ANTÔNIO, n.140","AVENIDA ANTÔNIO VANN ESS, n.373",VILA SÃO BENTO,JUAZEIRINHO ,RIO DE JANEIRO,"56322635",66,M,1124.97,242.4,1,"1958-02-20"
"44356335334",ADRIANA PEREIRA,"ESTRADA LEVY RAMOS, n.445","AVENIDA JOAQUIM CRISTÓVÃO, n.54",JARDIM PARANAPANEMA,PLANALTINO ,PARANÁ,"08623960",52,M,3504.03,888.31,1,"1971-12-03"
"44422975884",DAIANE DE OLIVEIRA CAVALCANTE,"ALAMEDA FIGUEIRAS, n.161","PRAÇA DOS IPÊS, n.417",JARDIM NOVA EUROPA,CAMPOS SALES ,PERNAMBUCO,"09124237",41,M,1226.72,3754.93,0,"1982-07-08"
"44493496667",MARGARETE ALVES,"ALAMEDA DAS SERINGUEIRAS, n.320","ALAMEDA SAMAMBAIAS, n.239",JARDIM DO LAGO I,SENADOR GEORGINO AVELINO ,MATO GROSSO,"23102223",68,M,2429.63,736.26,1,"1955-07-12"
"44875487164",THIAGO GOMES BRANDÃO,"AVENIDA JOSÉ P. C. ALBUQUERQUE, n.418","ALAMEDA SAMAMBAIAS, n.228",JARDIM NOVA EUROPA,BERTÓPOLIS ,PARAÍBA,"83553171",23,M,2876.59,3771.49,1,"2001-01-27"
"45190227954",VANUSA CRISTINA SIQUEIRA,"AVENIDA JOSIAS DE OLIVEIRA, n.233","ALAMEDA DAS ACÁCIAS, n.178",CIDADE JARDIM,TREMEDAL ,RONDÔNIA,"94082819",79,M,4334.28,4667.14,1,"1944-08-03"
"45452461597",BIANCA LOBO NASCIMENTO,"ALAMEDA DAS FIGUEIRAS, n.149","AVENIDA TENENTE OLYMPIO GUIGUER, n.22",JARDIM LEONOR,SÃO MIGUEL DO GUAMÁ ,RORAIMA,"62720805",28,M,2810.25,3007.42,0,"1995-11-26"
"45687389420",LETÍCIA DE LEMOS GUIMARÃES,"ALAMEDA PINHEIROS, n.45","PRAÇA ANCHIETA, n.470",PARQUE SÃO QUIRINO,IPUAÇU ,SÃO PAULO,"71695876",36,F,2583.85,1393.33,0,"1987-05-24"
"46814894363",CLEUZA LUIZA LOPES,"ALAMEDA UIRAPURU, n.26","AVENIDA ANTÔNIO VANN ESS, n.241",JARDIM NEW YORK (OU NOVA IORQUE),MIMOSO DO SUL ,SANTA CATARINA,"65412616",48,F,1866.55,1578.64,1,"1975-05-29"
"47040447037",MARIA DA CONCEIÇÃO DA SILVA NASCIMENTO,"PASSEIO PIONEIROS, n.287","ALAMEDA DAS PAINEIRAS, n.301",VILA MARIA[4],VICENTINÓPOLIS ,SERGIPE,"10473991",39,F,3701.01,4596.94,1,"1984-11-27"
"47912836898",ADRIANO BISPO MERGULHÃO,"AVENIDA DAS FLORES, n.117","AVENIDA ALFIO SAVASTANO, n.131",JARDIM MARISA,SÃO MATEUS DO MARANHÃO ,AMAZONAS,"71354813",63,M,1853.73,3349.69,0,"1960-05-28"
"49589986726",JOYCE DOS SANTOS CLAUDINO,"PRAÇA PALMEIRAS, n.433","PRAÇA DOS IPÊS, n.466",PARQUE TAQUARAL,ECOPORANGA ,MATO GROSSO DO SUL,"14520845",57,F,3670.94,1757.71,0,"1966-06-22"
"50143430490",MARIA CRISTIANE ARAÚJO BARROS,"ALAMEDA DAS CABRIUVAS, n.451","RODOVIA ANHANGUERA, n.218",JARDIM PROFESSORA TARCILLA,MATO QUEIMADO ,AMAZONAS,"39238522",48,M,4352.05,1655.3,1,"1975-04-29"
"50633593250",CLAUDIA HELENA MONTANHEIRO SILVA,"ALAMEDA DAS NOGUEIRAS, n.28","ALAMEDA DAS AÇUCENAS, n.293",VILA LEMOS,BALNEÁRIO PIÇARRAS ,PIAUÍ,"36074024",76,M,2628.24,2204.58,1,"1947-12-24"
"51008836960",ADRIANO DONIZETTE DOS SANTOS,"RUA ALBERTINA DE SOUZA AGUIAR, n.192","ALAMEDA SABIÁS, n.438",PARQUE SHANGRILÁ[2][3],PASSO DE TORRES ,RORAIMA,"26028422",54,F,2859.16,2994.33,0,"1969-12-11"
"51710015270",TATIANE FREITAS PENIDES DA COSTA,"ALAMEDA CÔNEGO FRANCISCO CRUZ, n.191","RUA ALBINO BARBIRATO, n.322",VILA IAPI,AMÉRICO DE CAMPOS ,MATO GROSSO,"12539698",28,F,1540.8,4959.38,0,"1996-02-04"
"52082818979",LEILIANE LOPES GONÇALVES,"ALAMEDA CANÁRIO, n.279","RUA ALCEBIADES BORTOLINI, n.409",JARDIM SANTA CRUZ,CAUCAIA ,PARÁ,"20007566",20,F,1363.35,1985.43,0,"2003-06-24"
"52281161535",CRISTHIANNY APARECIDA SILVA LIMA,"ALAMEDA DOS JEQUITIBÁS, n.262","AVENIDA ANTÔNIO VANN ESS, n.455",VILA BOA VISTA,XAMBRÊ ,PARANÁ,"98590253",33,M,1794.09,1175.57,1,"1990-10-05"
"52438751536",NIGERIA BEZERRA DO CARMO,"ALAMEDA SAMAMBAIAS, n.94","CAMINHO SERIEMAS, n.61",GUANABARA,LEME ,AMAPÁ,"30333459",33,M,2026.61,2416.03,1,"1991-03-14"
"52644570400",DIANA CARLA VIEIRA BULHO,"AVENIDA ATALIBA PENTEADO, n.500","AVENIDA LEO LUNDERS, n.450",JARDIM CAMPINAS,BATAYPORÃ ,DISTRITO FEDERAL,"64278914",28,M,4579.81,4819.62,1,"1995-05-30"
"52684707234",MANUEL JORGE PEDREIRA,"CAMINHO BICUDOS, n.296","ALAMEDA MANACÁS, n.197",JARDIM PROFESSORA TARCILLA,DIVINÓPOLIS DO TOCANTINS ,RIO DE JANEIRO,"59338939",22,M,3971.33,4985.68,1,"2001-05-19"
